,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
3988,2 Bed Condo for Sale in City Square Residences,['(D8)'],2,2,2009,Freehold,Condo,['(414 m)'],872,"1,700,000"
3989,HDB Flat for Sale in 194A Bukit Batok West Avenue 6,['(D23)'],3,2,,99,HDB,['(635 m)'],"1,022","670,000"
3990,HDB Flat for Sale in 194A Bukit Batok West Avenue 6,['(D23)'],3,2,,99,HDB,['(635 m)'],"1,022","670,000"
3991,HDB Flat for Sale in 70C Telok Blangah Heights,['(D4)'],3,2,2017,99,HDB,['(1862 m)'],"1,001","838,000"
3992,1 Bed Condo for Sale in Treasures @ G6,['(D14)'],1,1,2017,Freehold,Condo,['(862 m)'],"1,324","990,000"
3993,4 Bed Condo for Sale in The Oliv,['(D10)'],4,,2013,Freehold,Condo,['(1547 m)'],"3,337","10,700,000"
3994,3 Bed Condo for Sale in Amaranda Gardens,['(D19)'],3,3,2004,Freehold,Condo,['(444 m)'],"1,260","1,980,000"
3995,3 Bed Condo for Sale in Urbana,['(D9)'],3,3,2007,Freehold,Condo,['(561 m)'],"1,313","3,180,000"
3996,HDB Flat for Sale in 172B Edgedale Plains,['(D19)'],3,2,2004,,HDB 5 Rooms,['(254 m)'],"1,184","499,888"
3997,3 Bed Condo for Sale in The Inflora,['(D17)'],3,2,2017,99,Condo,,"1,033","1,040,000"
3998,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],559,"1,450,000"
3999,3 Bed Condo for Sale in The Luxurie,['(D19)'],3,3,2015,99,Condo,['(258 m)'],"1,012","1,250,000"
4000,3 Bed Condo for Sale in City Square Residences,['(D8)'],3,3,2009,Freehold,Condo,['(414 m)'],"1,206","1,900,000"
4001,HDB Flat for Sale in 473A Upper Serangoon Crescent,['(D19)'],3,2,2017,99,HDB,['(1318 m)'],"1,216","668,000"
4002,2 Bed Condo for Sale in Kingsford Waterbay,['(D19)'],2,1,2018,99,Condo,,624,"750,000"
4003,6 Bed House for Sale in Sennett Estate,['(D13)'],6,7,,Freehold,Corner Terrace,['(548 m)'],"2,283","4,700,000"
4004,1 Bed Condo for Sale in Midwood,['(D23)'],1,1,2024,99,Condo,['(352 m)'],484,"750,000"
4005,2 Bed Condo for Sale in Beacon Heights,['(D12)'],2,2,2012,99,Condo,['(1141 m)'],893,"1,238,000"
4006,HDB Flat for Sale in 163 Bedok South Road,['(D16)'],3,2,1985,99,HDB,['(1152 m)'],893,"438,000"
4007,3 Bed Condo for Sale in Reflections At Keppel Bay,['(D4)'],3,3,2011,99,Condo,['(468 m)'],"1,647","2,650,000"
4008,3 Bed Condo for Sale in The Foresta @ Mount Faber,['(D4)'],3,4,2014,Freehold,Condo,['(463 m)'],"1,658","2,750,000"
4009,4 Bed Condo for Sale in The Lilium,['(D19)'],4,4,2022,Freehold,Condo,['(354 m)'],"1,291","2,300,000"
4010,3 Bed Condo for Sale in The Lilium,['(D19)'],3,3,2022,Freehold,Condo,['(354 m)'],"1,087","1,978,000"
4011,4 Bed House for Sale in Jalan Haji Alias,['(D10)'],4,3,,,Corner Terrace,,"2,850","5,800,000"
4012,3 Bed Condo for Sale in Vertis,['(D15)'],3,3,2008,Freehold,Condo,,"1,658","2,700,000"
4013,3 Bed Condo for Sale in The Lakefront Residences,['(D22)'],3,3,2014,99,Condo,['(207 m)'],"1,206","1,550,000"
4014,3 Bed Condo for Sale in Orchard Scotts,['(D9)'],3,3,2007,99,Condo,['(299 m)'],"2,174","3,490,000"
4015,1 Bed Condo for Sale in Riversails,['(D19)'],1,1,2017,99,Condo,['(818 m)'],645,"670,000"
4016,HDB Flat for Sale in 4B Boon Tiong Road,['(D3)'],3,2,2005,99,HDB,['(607 m)'],"1,076","860,000"
4017,3 Bed Condo for Sale in The Scala,['(D19)'],3,3,2014,99,Condo,['(240 m)'],"1,711","2,600,000"
4018,1 Bed Condo for Sale in Skysuites @ Anson,['(D2)'],1,1,2015,99,Condo,['(225 m)'],365,"858,000"
4019,3 Bed Condo for Sale in Parc Riviera,['(D5)'],3,3,2020,99,Condo,,990,"1,440,000"
4020,HDB Flat for Sale in 238 Bishan Street 22,['(D20)'],3,3,1992,,HDB Executive,,"1,539","1,280,000"
4021,2 Bed EC for Sale in Signature At Yishun,['(D27)'],2,2,2017,99,Executive Condo,,764,"800,000"
4022,HDB Flat for Sale in 475C Upper Serangoon Crescent,['(D19)'],3,2,2014,99,HDB,['(1581 m)'],"1,173","790,000"
4023,HDB Flat for Sale in 70C Telok Blangah Heights,['(D4)'],3,2,2017,99,HDB,['(1862 m)'],"1,001","838,000"
4024,HDB Flat for Sale in 155 Rivervale Crescent,['(D19)'],3,2,2005,99,HDB,['(108 m)'],"1,184","525,000"
4025,HDB Flat for Sale in 475C Upper Serangoon Crescent,['(D19)'],3,2,2014,99,HDB,['(1581 m)'],"1,173","790,000"
4026,HDB Flat for Sale in 70C Telok Blangah Heights,['(D4)'],3,2,2017,99,HDB,['(1862 m)'],"1,001","838,000"
4027,HDB Flat for Sale in 155 Rivervale Crescent,['(D19)'],3,2,2005,99,HDB,['(108 m)'],"1,184","525,000"
4028,HDB Flat for Sale in 88 Dawson Road,['(D3)'],3,2,2016,99,HDB,['(379 m)'],893,"799,000"
4029,HDB Flat for Sale in 259C Punggol Field,['(D19)'],3,2,2016,99,HDB,['(182 m)'],"1,216","588,888"
4030,4 Bed EC for Sale in The Topiary,['(D28)'],4,4,2016,99,Executive Condo,['(939 m)'],"1,292","1,580,000"
4031,HDB Flat for Sale in 414B Fernvale Link,['(D28)'],3,2,2016,99,HDB,['(241 m)'],"1,001","470,000"
4032,1 Bed Condo for Sale in The Waterline,['(D19)'],1,1,2013,Freehold,Condo,,517,"670,000"
4033,2 Bed Condo for Sale in The Estuary,['(D27)'],2,2,2013,99,Condo,['(780 m)'],"1,034","950,000"
4034,3 Bed Condo for Sale in The Sierra,['(D10)'],3,2,1998,94,Condo,['(772 m)'],"1,033","1,580,000"
4035,1 Bed Condo for Sale in Skysuites @ Anson,['(D2)'],1,1,2015,99,Condo,['(225 m)'],398,"860,000"
4036,4 Bed Condo for Sale in The Nautical,['(D27)'],4,3,2016,99,Condo,['(936 m)'],"1,819","1,648,000"
4037,2 Bed Condo for Sale in Avenue South Residence,['(D3)'],2,2,2023,99,Condo,,732,"1,610,000"
