,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
1168,HDB Flat for Sale in 87 Dawson Road,['(D3)'],3,2,2016,99,HDB,['(427 m)'],936,"850,000"
1169,3 Bed Condo for Sale in Avenue South Residence,['(D3)'],3,3,2023,99,Condo,,"1,109","2,243,000"
1170,2 Bed Condo for Sale in Urban Residences,['(D19)'],2,2,2014,Freehold,Condo,['(1090 m)'],861,"1,160,000"
1171,3 Bed Condo for Sale in Clavon,['(D5)'],3,3,2025,99,Condo,['(824 m)'],"1,130","1,719,000"
1172,HDB Flat for Sale in 626 Senja Road,['(D23)'],3,2,2005,,HDB 4 Rooms,['(355 m)'],"1,001","458,000"
1173,3 Bed Condo for Sale in Nine Residences,['(D27)'],3,2,2017,99,Condo,['(957 m)'],925,"1,100,000"
1174,2 Bed Condo for Sale in Van Holland,['(D10)'],2,2,,Freehold,Condo,['(157 m)'],"1,001","2,841,000"
1175,2 Bed Condo for Sale in Coastline Residences,['(D15)'],2,2,2022,Freehold,Condo,,710,"1,613,000"
1176,3 Bed EC for Sale in Waterwoods,['(D19)'],3,2,2015,99,Executive Condo,['(281 m)'],"1,033","1,128,888"
1177,3 Bed Condo for Sale in Ki Residences At Brookvale,['(D21)'],3,2,,99,Condo,,861,"1,477,000"
1178,2 Bed Condo for Sale in Ki Residences At Brookvale,['(D21)'],2,2,,99,Condo,,743,"1,285,000"
1179,3 Bed Condo for Sale in Ki Residences At Brookvale,['(D21)'],3,3,,99,Condo,,"1,109","1,954,000"
1180,1 Bed Condo for Sale in Riviere,['(D3)'],1,1,2023,99,Condo,,560,"1,548,900"
1181,2 Bed Condo for Sale in Midwood,['(D23)'],2,,2024,99,Condo,['(352 m)'],635,"998,000"
1182,1 Bed Condo for Sale in Midwood,['(D23)'],1,1,2024,99,Condo,['(352 m)'],484,"771,000"
1183,3 Bed Condo for Sale in Waterscape At Cavenagh,['(D9)'],3,3,2014,Freehold,Condo,['(790 m)'],"1,313","2,700,000"
1184,2 Bed Condo for Sale in Midwood,['(D23)'],2,2,2024,99,Condo,['(352 m)'],700,"1,109,000"
1185,5 Bed House for Sale in Merryn Road,['(D11)'],5,6,,,Bungalow,,"5,300","11,000,000"
1186,2 Bed Condo for Sale in Regent Heights,['(D23)'],2,2,1999,99,Condo,['(1566 m)'],"1,023","858,888"
1187,2 Bed Condo for Sale in One Meyer,['(D15)'],2,2,2023,Freehold,Condo,['(1114 m)'],614,"1,547,000"
1188,2 Bed EC for Sale in Signature At Yishun,['(D27)'],2,2,2017,99,Executive Condo,,764,"800,000"
1189,HDB Flat for Sale in 272C Punggol Walk,['(D19)'],3,2,2014,99,HDB,['(313 m)'],"1,249","780,000"
1190,5 Bed House for Sale in Merryn Road,['(D11)'],5,6,,,Bungalow,,"5,300","11,000,000"
1191,2 Bed Condo for Sale in Regent Heights,['(D23)'],2,2,1999,99,Condo,['(1566 m)'],"1,023","858,888"
1192,2 Bed Condo for Sale in One Meyer,['(D15)'],2,2,2023,Freehold,Condo,['(1114 m)'],614,"1,547,000"
1193,2 Bed EC for Sale in Signature At Yishun,['(D27)'],2,2,2017,99,Executive Condo,,764,"800,000"
1194,HDB Flat for Sale in 272C Punggol Walk,['(D19)'],3,2,2014,99,HDB,['(313 m)'],"1,249","780,000"
1195,HDB Flat for Sale in 862 Yishun Avenue 4,['(D27)'],2,2,1988,,HDB 3 Rooms,['(1027 m)'],796,"320,000"
1196,HDB Flat for Sale in 184 Jelebu Road,['(D23)'],4,2,2003,,HDB Executive,['(218 m)'],"1,334","740,000"
1197,5 Bed House for Sale in Urban Villas,['(D19)'],5,5,,,Cluster House,['(579 m)'],"4,650","3,490,000"
1198,3 Bed Condo for Sale in One Meyer,['(D15)'],3,2,2023,Freehold,Condo,['(1114 m)'],926,"2,287,000"
1199,3 Bed Condo for Sale in The Woodleigh Residences / The Woodleigh Mall,['(D13)'],3,3,2022,99,Condo,['(150 m)'],"1,076","2,149,000"
1200,3 Bed Condo for Sale in The Woodleigh Residences / The Woodleigh Mall,['(D13)'],3,2,2022,99,Condo,['(150 m)'],958,"1,904,000"
1201,4 Bed Condo for Sale in The Woodleigh Residences / The Woodleigh Mall,['(D13)'],4,3,2022,99,Condo,['(150 m)'],"1,270","2,670,000"
1202,2 Bed Condo for Sale in Fyve Derbyshire,['(D11)'],2,1,2022,Freehold,Condo,['(466 m)'],592,"1,390,000"
1203,HDB Flat for Sale in 3 Ghim Moh Road,['(D10)'],2,2,1976,99,HDB,['(658 m)'],678,"358,888"
1204,HDB Flat for Sale in 188 Punggol Central,['(D19)'],3,2,2004,,HDB Executive,['(259 m)'],"1,377","620,000"
1205,2 Bed Condo for Sale in Neu at Novena,['(D11)'],2,2,2023,Freehold,Condo,['(243 m)'],657,"1,805,000"
1206,2 Bed Condo for Sale in Sant Ritz,['(D13)'],2,1,2017,99,Condo,['(189 m)'],"1,227","1,420,000"
1207,3 Bed EC for Sale in Twin Fountains,['(D25)'],3,2,2016,99,Executive Condo,,"1,033","978,000"
1208,HDB Flat for Sale in 154 Ang Mo Kio Avenue 5,['(D20)'],2,2,1981,99,HDB,['(2087 m)'],780,"350,000"
1209,3 Bed Condo for Sale in Eight Riversuites,['(D12)'],3,2,2016,99,Condo,['(358 m)'],980,"1,600,000"
1210,6 Bed House for Sale in Tuan Sing Park,['(D28)'],6,4,1997,99,,,"3,790","4,000,000"
1211,2 Bed Condo for Sale in Meadows @ Peirce,['(D26)'],2,2,2012,Freehold,Condo,,"1,119","1,480,000"
1212,3 Bed Condo for Sale in The Lilium,['(D19)'],3,3,2022,Freehold,Condo,['(354 m)'],"1,087","2,119,800"
1213,5 Bed House for Sale in 35 Lorong K Telok Kurau,['(D15)'],5,6,,,Terraced House,['(1405 m)'],"3,489","3,350,000"
1214,3 Bed Condo for Sale in Lakeville,['(D22)'],3,3,2018,99,Condo,['(725 m)'],"1,141","1,739,000"
1215,3 Bed Condo for Sale in Parc Centros,['(D19)'],3,3,2016,99,Condo,['(246 m)'],"1,141","1,420,000"
1216,3 Bed Condo for Sale in Neu at Novena,['(D11)'],3,2,2023,Freehold,Condo,['(243 m)'],861,"2,237,000"
1217,3 Bed Condo for Sale in Jui Residences,['(D12)'],3,3,2022,Freehold,Condo,['(1042 m)'],883,"1,635,800"
1218,2 Bed Condo for Sale in The Lilium,['(D19)'],2,2,2022,Freehold,Condo,['(354 m)'],710,"1,490,800"
1219,4 Bed Condo for Sale in Neu at Novena,['(D11)'],4,3,2023,Freehold,Condo,['(243 m)'],"1,195","3,239,000"
1220,HDB Flat for Sale in 160 Mei Ling Street,['(D3)'],2,2,1970,99,HDB,['(332 m)'],775,"470,000"
1221,HDB Flat for Sale in 95 Commonwealth Drive,['(D3)'],2,1,1967,99,HDB,['(443 m)'],646,"280,000"
1222,HDB Flat for Sale in 110 Commonwealth Crescent,['(D3)'],2,1,1968,99,HDB,['(471 m)'],646,"300,000"
1223,HDB Flat for Sale in 686A Choa Chu Kang Crescent,['(D23)'],3,2,2002,,HDB 5 Rooms,['(1448 m)'],"1,184","498,000"
1224,HDB Flat for Sale in 44 Bedok South Road,['(D16)'],3,2,1977,99,HDB,['(1496 m)'],904,"450,000"
1225,4 Bed Condo for Sale in Neu at Novena,['(D11)'],4,3,2023,Freehold,Condo,['(243 m)'],"1,195","3,239,000"
1226,HDB Flat for Sale in 160 Mei Ling Street,['(D3)'],2,2,1970,99,HDB,['(332 m)'],775,"470,000"
1227,HDB Flat for Sale in 95 Commonwealth Drive,['(D3)'],2,1,1967,99,HDB,['(443 m)'],646,"280,000"
1228,HDB Flat for Sale in 110 Commonwealth Crescent,['(D3)'],2,1,1968,99,HDB,['(471 m)'],646,"300,000"
1229,HDB Flat for Sale in 686A Choa Chu Kang Crescent,['(D23)'],3,2,2002,,HDB 5 Rooms,['(1448 m)'],"1,184","498,000"
1230,HDB Flat for Sale in 44 Bedok South Road,['(D16)'],3,2,1977,99,HDB,['(1496 m)'],904,"450,000"
1231,HDB Flat for Sale in 208 Boon Lay Place,['(D22)'],2,2,1974,99,HDB,['(1165 m)'],700,"286,000"
1232,2 Bed Condo for Sale in The Tier,['(D12)'],2,1,2013,Freehold,Condo,['(2126 m)'],538,"850,000"
1233,1 Bed Condo for Sale in Seaside Residences,['(D15)'],1,1,2021,99,Condo,,560,"1,260,000"
1234,3 Bed Condo for Sale in Changi Rise Condominium,['(D18)'],3,3,2004,99,Condo,['(1228 m)'],"1,259","1,050,000"
1235,HDB Flat for Sale in 683 Tessensohn Road,['(D8)'],3,,1986,,HDB 4 Rooms,['(293 m)'],"1,108","580,000"
1236,2 Bed Condo for Sale in Floraville,['(D28)'],2,2,2018,Freehold,Condo,,689,"950,000"
1237,HDB Flat for Sale in 124 Bedok North Road,['(D16)'],2,2,1978,,HDB 3 Rooms,['(1244 m)'],721,"358,000"
1238,HDB Flat for Sale in 262 Tampines Street 21,['(D18)'],3,2,1984,,HDB 4 Rooms,['(1786 m)'],"1,108","500,000"
1239,3 Bed Condo for Sale in Sengkang Grand Residences,['(D19)'],3,2,2022,99,Condo,['(42 m)'],936,"1,500,000"
1240,2 Bed Condo for Sale in Sengkang Grand Residences,['(D19)'],2,1,2022,99,Condo,['(42 m)'],678,"1,100,000"
1241,4 Bed Condo for Sale in Sengkang Grand Residences,['(D19)'],4,3,2022,99,Condo,['(42 m)'],"1,324","2,110,000"
1242,3 Bed Condo for Sale in Dakota Residences,['(D14)'],3,3,2010,99,Condo,['(243 m)'],"1,292","2,151,413"
1243,3 Bed Condo for Sale in Sengkang Grand Residences,['(D19)'],3,3,2022,99,Condo,['(42 m)'],"1,055","1,700,000"
1244,HDB Flat for Sale in 404 Yishun Avenue 6,['(D27)'],3,2,1988,,HDB 4 Rooms,,904,"388,000"
1245,HDB Flat for Sale in 122 Pasir Ris Street 11,['(D18)'],3,2,1995,99,HDB,['(1279 m)'],"1,420","680,000"
1246,2 Bed Condo for Sale in Skies Miltonia,['(D27)'],2,2,2016,99,Condo,,721,"770,000"
1247,3 Bed Condo for Sale in Citylife @ Tampines,['(D18)'],3,3,2016,99,Condo,['(1128 m)'],"1,249","1,400,000"
1248,2 Bed Condo for Sale in Treasure at Tampines,['(D18)'],2,2,2023,99,Condo,['(924 m)'],592,"776,000"
1249,3 Bed Condo for Sale in Treasure at Tampines,['(D18)'],3,3,2023,99,Condo,['(924 m)'],840,"1,032,000"
1250,4 Bed Condo for Sale in Treasure at Tampines,['(D18)'],4,4,2023,99,Condo,['(924 m)'],"1,238","1,493,000"
1251,5 Bed Condo for Sale in Treasure at Tampines,['(D18)'],5,5,2023,99,Condo,['(924 m)'],"1,722","1,886,000"
1252,1 Bed Condo for Sale in TRE Residences,['(D14)'],1,1,2018,99,Condo,['(223 m)'],420,"788,000"
1253,4 Bed Condo for Sale in Residences @ Killiney,['(D9)'],4,5,2013,Freehold,Condo,['(378 m)'],"6,749","13,500,000"
1254,4 Bed Condo for Sale in The Waterside,['(D15)'],4,4,1993,Freehold,Condo,,"2,400","3,950,000"
1255,2 Bed Condo for Sale in Le Quest,['(D23)'],2,1,2020,99,Condo,['(1022 m)'],614,"1,080,000"
1256,3 Bed Condo for Sale in Blue Horizon,['(D5)'],3,3,2005,99,Condo,,"1,163","1,388,000"
1257,2 Bed Condo for Sale in The Gardens At Bishan,['(D20)'],2,2,2004,99,Condo,,883,"1,150,000"
1258,3 Bed Condo for Sale in Casa Rosa,['(D19)'],3,3,2001,99,Condo,['(389 m)'],"1,549","1,699,000"
1259,4 Bed Condo for Sale in North Park Residences,['(D27)'],4,3,2020,99,Condo,['(238 m)'],"1,249","1,950,000"
1260,4 Bed Condo for Sale in North Park Residences,['(D27)'],4,3,2020,99,Condo,['(238 m)'],"1,249","1,950,000"
1261,HDB Flat for Sale in 42 Bedok South Road,['(D16)'],3,1,1977,99,HDB,['(1436 m)'],904,"480,000"
1262,3 Bed Condo for Sale in Coco Palms,['(D18)'],3,2,2019,99,Condo,['(400 m)'],904,"1,180,000"
1263,4 Bed Condo for Sale in Mooi Residences,['(D10)'],4,2,2023,Freehold,Condo,['(241 m)'],"1,335","3,448,888"
1264,4 Bed Condo for Sale in Treasure at Tampines,['(D18)'],4,2,2023,99,Condo,['(924 m)'],"1,238","1,615,000"
1265,2 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],2,2,2016,99,Condo,['(2164 m)'],"1,119","2,593,000"
1266,1 Bed Condo for Sale in The Tennery,['(D23)'],1,1,2013,99,Condo,['(16 m)'],614,"728,000"
1267,1 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],1,1,2016,99,Condo,['(2164 m)'],570,"1,550,000"
1268,2 Bed Condo for Sale in Parc Esta,['(D14)'],2,1,2022,99,Condo,['(186 m)'],635,"1,101,000"
1269,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,216","2,712,000"
1270,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,200,000"
1271,2 Bed Condo for Sale in Mon Jervois,['(D10)'],2,2,2017,99,Condo,['(869 m)'],"2,325","3,384,000"
1272,4 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],4,1,2016,Freehold,Condo,['(1039 m)'],"2,874","6,685,000"
1273,3 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],3,2,2024,99,Condo,,"1,076","1,640,500"
1274,4 Bed Condo for Sale in Parc Esta,['(D14)'],4,3,2022,99,Condo,['(186 m)'],"1,227","2,188,000"
1275,HDB Flat for Sale in 483 Pasir Ris Drive 4,['(D18)'],3,2,1995,99,HDB,,"1,313","580,000"
1276,3 Bed Condo for Sale in Q Bay Residences,['(D18)'],3,3,2017,99,Condo,,"1,119","1,350,000"
1277,3 Bed Condo for Sale in Parc Esta,['(D14)'],3,2,2022,99,Condo,['(186 m)'],926,"1,606,000"
1278,1 Bed Condo for Sale in Straits Residences,['(D15)'],1,1,2013,Freehold,Condo,['(1050 m)'],431,"650,000"
1279,3 Bed Condo for Sale in J Gateway,['(D22)'],3,2,2017,99,Condo,['(178 m)'],893,"1,600,000"
1280,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],775,"1,979,000"
1281,1 Bed Condo for Sale in Bartley Ridge,['(D13)'],1,1,2018,99,Condo,['(246 m)'],495,"800,000"
1282,5 Bed Condo for Sale in Parc Esta,['(D14)'],5,3,2022,99,Condo,['(186 m)'],"1,475","2,625,000"
1283,1 Bed Condo for Sale in My Manhattan,['(D18)'],1,1,2014,99,Condo,['(179 m)'],441,"720,000"
1284,1 Bed Condo for Sale in Cavan Suites,['(D8)'],1,1,2013,Freehold,Apartment,['(470 m)'],344,"620,000"
1285,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],527,"1,680,000"
1286,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],689,"1,800,000"
1287,2 Bed Condo for Sale in Vue 8 Residence,['(D18)'],2,1,2017,99,Condo,,700,"799,000"
1288,5 Bed House for Sale in Nim Collection,['(D28)'],5,5,2019,99,Terraced House,,"2,168","3,600,000"
1289,2 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],2,2,2024,99,Condo,,732,"1,153,000"
1290,5 Bed House for Sale in The Whitley Residences,['(D11)'],5,5,2017,Freehold,,['(1220 m)'],"6,222","5,200,000"
1291,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,1,2016,Freehold,Condo,['(881 m)'],614,"1,646,000"
1292,1 Bed Condo for Sale in Kallang Riverside,['(D12)'],1,1,2019,Freehold,Apartment,['(451 m)'],517,"1,463,000"
1293,2 Bed Condo for Sale in Kallang Riverside,['(D12)'],2,2,2019,Freehold,Apartment,['(451 m)'],"1,033","2,580,000"
1294,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,331,000"
1295,4 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],4,1,2016,Freehold,Condo,['(1039 m)'],"2,874","6,685,000"
1296,3 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],3,2,2024,99,Condo,,"1,076","1,640,500"
1297,4 Bed Condo for Sale in Parc Esta,['(D14)'],4,3,2022,99,Condo,['(186 m)'],"1,227","2,188,000"
1298,HDB Flat for Sale in 483 Pasir Ris Drive 4,['(D18)'],3,2,1995,99,HDB,,"1,313","580,000"
1299,3 Bed Condo for Sale in Q Bay Residences,['(D18)'],3,3,2017,99,Condo,,"1,119","1,350,000"
1300,3 Bed Condo for Sale in Parc Esta,['(D14)'],3,2,2022,99,Condo,['(186 m)'],926,"1,606,000"
1301,1 Bed Condo for Sale in Straits Residences,['(D15)'],1,1,2013,Freehold,Condo,['(1050 m)'],431,"650,000"
1302,3 Bed Condo for Sale in J Gateway,['(D22)'],3,2,2017,99,Condo,['(178 m)'],893,"1,600,000"
1303,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],775,"1,979,000"
1304,1 Bed Condo for Sale in Bartley Ridge,['(D13)'],1,1,2018,99,Condo,['(246 m)'],495,"800,000"
1305,5 Bed Condo for Sale in Parc Esta,['(D14)'],5,3,2022,99,Condo,['(186 m)'],"1,475","2,625,000"
1306,1 Bed Condo for Sale in My Manhattan,['(D18)'],1,1,2014,99,Condo,['(179 m)'],441,"720,000"
1307,1 Bed Condo for Sale in Cavan Suites,['(D8)'],1,1,2013,Freehold,Apartment,['(470 m)'],344,"620,000"
1308,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],527,"1,680,000"
1309,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],689,"1,800,000"
1310,2 Bed Condo for Sale in Vue 8 Residence,['(D18)'],2,1,2017,99,Condo,,700,"799,000"
1311,5 Bed House for Sale in Nim Collection,['(D28)'],5,5,2019,99,Terraced House,,"2,168","3,600,000"
1312,2 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],2,2,2024,99,Condo,,732,"1,153,000"
1313,5 Bed House for Sale in The Whitley Residences,['(D11)'],5,5,2017,Freehold,,['(1220 m)'],"6,222","5,200,000"
1314,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,1,2016,Freehold,Condo,['(881 m)'],614,"1,646,000"
1315,1 Bed Condo for Sale in Kallang Riverside,['(D12)'],1,1,2019,Freehold,Apartment,['(451 m)'],517,"1,463,000"
1316,2 Bed Condo for Sale in Kallang Riverside,['(D12)'],2,2,2019,Freehold,Apartment,['(451 m)'],"1,033","2,580,000"
1317,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,331,000"
1318,1 Bed Condo for Sale in Viva Vista,['(D5)'],1,2,2015,Freehold,Apartment,['(826 m)'],"1,044","1,500,000"
1319,4 Bed Condo for Sale in Amber Skye,['(D15)'],4,3,2017,Freehold,Apartment,,"3,348","7,115,000"
1320,3 Bed Condo for Sale in The Lilium,['(D19)'],3,3,2022,Freehold,Condo,['(354 m)'],"1,087","2,119,800"
1321,4 Bed Condo for Sale in The Lilium,['(D19)'],4,4,2022,Freehold,Condo,['(354 m)'],"1,291","2,478,800"
1322,2 Bed Condo for Sale in The Lilium,['(D19)'],2,2,2022,Freehold,Condo,['(354 m)'],699,"1,535,800"
1323,2 Bed Condo for Sale in The Lilium,['(D19)'],2,2,2022,Freehold,Condo,['(354 m)'],710,"1,490,800"
1324,5 Bed Condo for Sale in Hillion Residences,['(D23)'],5,5,2018,99,Condo,['(58 m)'],"2,616","2,892,000"
1325,HDB Flat for Sale in 86 Dawson Road,['(D3)'],3,2,2016,99,HDB,['(474 m)'],893,"860,000"
1326,2 Bed Condo for Sale in Newton Edge,['(D9)'],2,2,2011,Freehold,Condo,['(471 m)'],"1,173","1,900,000"
1327,HDB Flat for Sale in 61B Strathmore Avenue,['(D3)'],3,2,2011,99,HDB,['(1044 m)'],"1,055","825,000"
1328,HDB Flat for Sale in 153 Lorong 2 Toa Payoh,['(D12)'],3,2,1999,99,HDB,['(249 m)'],"1,087","938,888"
1329,3 Bed Condo for Sale in The Gazania,['(D19)'],3,2,2022,Freehold,Condo,['(311 m)'],850,"1,774,000"
1330,4 Bed Condo for Sale in Mooi Residences,['(D10)'],4,2,2023,Freehold,Condo,['(241 m)'],"1,335","3,448,888"
1331,4 Bed Condo for Sale in Treasure at Tampines,['(D18)'],4,2,2023,99,Condo,['(924 m)'],"1,238","1,615,000"
1332,2 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],2,2,2016,99,Condo,['(2164 m)'],"1,119","2,593,000"
1333,1 Bed Condo for Sale in The Tennery,['(D23)'],1,1,2013,99,Condo,['(16 m)'],614,"728,000"
1334,1 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],1,1,2016,99,Condo,['(2164 m)'],570,"1,550,000"
1335,2 Bed Condo for Sale in Parc Esta,['(D14)'],2,1,2022,99,Condo,['(186 m)'],635,"1,101,000"
1336,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,216","2,712,000"
1337,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,200,000"
1338,2 Bed Condo for Sale in Mon Jervois,['(D10)'],2,2,2017,99,Condo,['(869 m)'],"2,325","3,384,000"
1339,4 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],4,1,2016,Freehold,Condo,['(1039 m)'],"2,874","6,685,000"
1340,3 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],3,2,2024,99,Condo,,"1,076","1,640,500"
1341,4 Bed Condo for Sale in Parc Esta,['(D14)'],4,3,2022,99,Condo,['(186 m)'],"1,227","2,188,000"
1342,HDB Flat for Sale in 483 Pasir Ris Drive 4,['(D18)'],3,2,1995,99,HDB,,"1,313","580,000"
1343,3 Bed Condo for Sale in Q Bay Residences,['(D18)'],3,3,2017,99,Condo,,"1,119","1,350,000"
1344,3 Bed Condo for Sale in Parc Esta,['(D14)'],3,2,2022,99,Condo,['(186 m)'],926,"1,606,000"
1345,1 Bed Condo for Sale in Straits Residences,['(D15)'],1,1,2013,Freehold,Condo,['(1050 m)'],431,"650,000"
1346,3 Bed Condo for Sale in J Gateway,['(D22)'],3,2,2017,99,Condo,['(178 m)'],893,"1,600,000"
1347,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],775,"1,979,000"
1348,1 Bed Condo for Sale in Bartley Ridge,['(D13)'],1,1,2018,99,Condo,['(246 m)'],495,"800,000"
1349,5 Bed Condo for Sale in Parc Esta,['(D14)'],5,3,2022,99,Condo,['(186 m)'],"1,475","2,625,000"
1350,1 Bed Condo for Sale in My Manhattan,['(D18)'],1,1,2014,99,Condo,['(179 m)'],441,"720,000"
1351,1 Bed Condo for Sale in Cavan Suites,['(D8)'],1,1,2013,Freehold,Apartment,['(470 m)'],344,"620,000"
1352,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],527,"1,680,000"
1353,1 Bed Condo for Sale in The Peak @ Cairnhill I,['(D9)'],1,1,2014,Freehold,Condo,['(476 m)'],689,"1,800,000"
1354,2 Bed Condo for Sale in Vue 8 Residence,['(D18)'],2,1,2017,99,Condo,,700,"799,000"
1355,5 Bed House for Sale in Nim Collection,['(D28)'],5,5,2019,99,Terraced House,,"2,168","3,600,000"
1356,2 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],2,2,2024,99,Condo,,732,"1,153,000"
1357,5 Bed House for Sale in The Whitley Residences,['(D11)'],5,5,2017,Freehold,,['(1220 m)'],"6,222","5,200,000"
1358,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,1,2016,Freehold,Condo,['(881 m)'],614,"1,646,000"
1359,1 Bed Condo for Sale in Kallang Riverside,['(D12)'],1,1,2019,Freehold,Apartment,['(451 m)'],517,"1,463,000"
1360,2 Bed Condo for Sale in Kallang Riverside,['(D12)'],2,2,2019,Freehold,Apartment,['(451 m)'],"1,033","2,580,000"
1361,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,331,000"
1362,1 Bed Condo for Sale in Viva Vista,['(D5)'],1,2,2015,Freehold,Apartment,['(826 m)'],"1,044","1,500,000"
1363,4 Bed Condo for Sale in Amber Skye,['(D15)'],4,3,2017,Freehold,Apartment,,"3,348","7,115,000"
1364,3 Bed Condo for Sale in The Lilium,['(D19)'],3,3,2022,Freehold,Condo,['(354 m)'],"1,087","2,119,800"
1365,4 Bed Condo for Sale in Mooi Residences,['(D10)'],4,2,2023,Freehold,Condo,['(241 m)'],"1,335","3,448,888"
1366,4 Bed Condo for Sale in Treasure at Tampines,['(D18)'],4,2,2023,99,Condo,['(924 m)'],"1,238","1,615,000"
1367,2 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],2,2,2016,99,Condo,['(2164 m)'],"1,119","2,593,000"
1368,1 Bed Condo for Sale in The Tennery,['(D23)'],1,1,2013,99,Condo,['(16 m)'],614,"728,000"
1369,1 Bed Condo for Sale in Up @ Robertson Quay,['(D9)'],1,1,2016,99,Condo,['(2164 m)'],570,"1,550,000"
1370,2 Bed Condo for Sale in Parc Esta,['(D14)'],2,1,2022,99,Condo,['(186 m)'],635,"1,101,000"
1371,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,216","2,712,000"
1372,3 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],3,2,2016,Freehold,Condo,['(1039 m)'],"1,055","2,200,000"
1373,2 Bed Condo for Sale in Mon Jervois,['(D10)'],2,2,2017,99,Condo,['(869 m)'],"2,325","3,384,000"
1374,4 Bed Condo for Sale in The Line @ Tanjong Rhu,['(D15)'],4,1,2016,Freehold,Condo,['(1039 m)'],"2,874","6,685,000"
1375,3 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],3,2,2024,99,Condo,,"1,076","1,640,500"
1376,4 Bed Condo for Sale in Parc Esta,['(D14)'],4,3,2022,99,Condo,['(186 m)'],"1,227","2,188,000"
1377,HDB Flat for Sale in 483 Pasir Ris Drive 4,['(D18)'],3,2,1995,99,HDB,,"1,313","580,000"
1378,3 Bed Condo for Sale in Q Bay Residences,['(D18)'],3,3,2017,99,Condo,,"1,119","1,350,000"
1379,3 Bed Condo for Sale in Parc Esta,['(D14)'],3,2,2022,99,Condo,['(186 m)'],926,"1,606,000"
1380,1 Bed Condo for Sale in Straits Residences,['(D15)'],1,1,2013,Freehold,Condo,['(1050 m)'],431,"650,000"
1381,3 Bed Condo for Sale in J Gateway,['(D22)'],3,2,2017,99,Condo,['(178 m)'],893,"1,600,000"
1382,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],775,"1,979,000"
1383,1 Bed Condo for Sale in Bartley Ridge,['(D13)'],1,1,2018,99,Condo,['(246 m)'],495,"800,000"
1384,5 Bed Condo for Sale in Parc Esta,['(D14)'],5,3,2022,99,Condo,['(186 m)'],"1,475","2,625,000"
1385,1 Bed Condo for Sale in My Manhattan,['(D18)'],1,1,2014,99,Condo,['(179 m)'],441,"720,000"
